PLAY #,DN,playNum,ydLine,DOWN,DIST,DD,GN/LS,PLAY TYPE,OFF FORM,OFF PLAY,PREVIOUS PLAY,prevPlay,currentPlay,Down/Dist Scenarios,Game Changing Scenarios,Run/Pass Scenarios
209.0,2.0,209.0,45.0,2.0,13.0,2.013.0,4.0,Pass,QUADS BONE,5 ST,IZ,IZ,5 ST,0,0,Run < 5 yds
211.0,1.0,211.0,6.0,1.0,6.0,1.06.0,4.0,Run,QUADS BONE,JET SWEEP,5 ST,5 ST,JET SWEEP,2nd Down Conversion,0,Run < 5 yds
225.0,1.0,225.0,-41.0,1.0,10.0,1.010.0,4.0,Pass,QUADS,SACK,JET SWEEP,JET SWEEP,SACK,0,0,Run for 1st Down
241.0,1.0,241.0,-15.0,1.0,10.0,1.010.0,4.0,Run,SPREAD,POWER,SACK,SACK,POWER,0,0,Run for 1st Down
243.0,2.0,243.0,-17.0,2.0,8.0,2.08.0,4.0,Run,KINGS OPEN,ZONE READ,POWER,POWER,ZONE READ,0,0,Run < 5 yds
245.0,3.0,245.0,-23.0,3.0,2.0,3.02.0,4.0,Run,PRO HARDER,JET VEER,ZONE READ,ZONE READ,JET VEER,0,0,Run < 5 yds
247.0,1.0,247.0,-27.0,1.0,10.0,1.010.0,4.0,Pass,TWINS OPEN SOFTER,IZ RPO,JET VEER,JET VEER,IZ RPO,3rd Down Conversion,0,Run for 1st Down
249.0,2.0,249.0,-30.0,2.0,7.0,2.07.0,4.0,Run,DBL WING SPLIT,ZONE READ,IZ RPO,IZ RPO,ZONE READ,0,0,Run < 5 yds
251.0,3.0,251.0,-30.0,3.0,7.0,3.07.0,4.0,Pass,QUEENS OPEN,5 ST,ZONE READ,ZONE READ,5 ST,0,0,Run < 5 yds
253.0,1.0,253.0,-45.0,1.0,10.0,1.010.0,4.0,Pass,QUEENS OPEN,5 ST,5 ST,5 ST,5 ST,3rd Down Conversion,0,Run for 1st Down
255.0,1.0,255.0,45.0,1.0,10.0,1.010.0,4.0,Pass,TWINS OPEN SOFTER,5 ST,5 ST,5 ST,5 ST,0,0,Run for 1st Down
257.0,1.0,257.0,-45.0,1.0,20.0,1.020.0,4.0,Run,QUEENS OPEN,QB DRAW,5 ST,5 ST,QB DRAW,0,0,Run < 5 yds
259.0,2.0,259.0,38.0,2.0,3.0,2.03.0,4.0,Run,DBL WING SPLIT,IZ,QB DRAW,QB DRAW,IZ,0,0,Run < 5 yds
261.0,3.0,261.0,39.0,3.0,4.0,3.04.0,4.0,Pass,QUADS BONE,PA 5 ST,IZ,IZ,PA 5 ST,0,0,Run < 5 yds
